service_id,date,exception_type
6,20230508,1
4,20230508,2
6,20230509,1
3,20230509,2
6,20230510,1
4,20230510,2
6,20230515,1
4,20230515,2
6,20230516,1
3,20230516,2
6,20230517,1
4,20230517,2
6,20230522,1
4,20230522,2
6,20230523,1
3,20230523,2
6,20230524,1
4,20230524,2
6,20230529,1
4,20230529,2
6,20230530,1
3,20230530,2
6,20230531,1
4,20230531,2
6,20230605,1
4,20230605,2
6,20230606,1
3,20230606,2
6,20230607,1
4,20230607,2
4,20230608,1
6,20230608,2
